primaryTitle;startYear;rtRating
Caged;1950;
Mucho Mucho Amor: The Legend of Walter Mercado;2020;100%
Devil's Doorway;1950;
Dick Johnson Is Dead;2020;100%
Nayattu;2021;100%
Kiss Tomorrow Goodbye;1950;
Mister 880;1950;
It's Not Me, I Swear!;2008;100%
3 Idiots;2009;100%
Athlete A;2020;100%
Into Eternity: A Film for the Future;2010;100%
Extraordinary Stories;2008;100%
Fish Story;2009;100%
Waste Land;2010;100%
What We Wanted;2020;100%
Nightmares in Red, White and Blue: The Evolution of the American Horror Film;2009;100%
13B: Fear Has a New Address;2009;100%
Son of Babylon;2009;100%
Henri-Georges Clouzot's Inferno;2009;100%
The Year Earth Changed;2021;100%
Cloudburst;2011;100%
Nostalgia for the Light;2010;100%
Cry Danger;1951;
Urbanized;2011;100%
The Colors of the Mountain;2010;100%
Lost Continent;1951;
The Magic Box;1951;
Has Anybody Seen My Gal;1952;
Teenage Cocktail;2016;100%
The Painted Hills;1951;
The Little World of Don Camillo;1952;
We Were Here;2011;100%
Rawhide;1951;
Kahaani;2012;100%
Paradise Lost 3: Purgatory;2011;100%
Abbott and Costello Meet Captain Kidd;1952;
Steve Jobs: The Lost Interview;2012;100%
Big Jim McLain;1952;
The Big Trees;1952;
Camp 14: Total Control Zone;2012;100%
Seymour: An Introduction;2014;100%
We Are the Nobles;2013;100%
Invasion, U.S.A.;1952;
Masquerade;2012;100%
Sound City;2013;100%
A Werewolf Boy;2012;100%
Filmage: The Story of Descendents/All;2013;100%
Room for One More;1952;
Filmistaan;2012;100%
Next Goal Wins;2014;100%
The Stranger in Between;1952;
K2: Siren of the Himalayas;2012;100%
Good Day, Ramon;2013;100%
Ilo Ilo;2013;100%
All This Mayhem;2014;100%
Bleed;2016;100%
Arrowhead;1953;
Master of the Universe;2013;100%
The Circle;2014;100%
Welcome Mr. Marshall!;1953;
Unrest;2017;100%
Do Bigha Zamin;1953;
Heidi;2015;100%
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau;2014;100%
Roger Waters: The Wall;2014;100%
India's Daughter;2015;100%
100 Yen Love;2014;100%
Crush the Skull;2015;100%
The Living Desert;1953;
The Man Between;1953;
Man on a Tightrope;1953;
Survivors Guide To Prison;2018;100%
Macadam Stories;2015;100%
Sadko;1953;
The Stranger Wore a Gun;1953;
Torch Song;1953;
Ice Guardians;2016;100%
The Young Offenders;2016;100%
You Are My Sunday;2016;100%
Beachhead;1954;
Aligarh;2015;100%
Abracadabra;2017;100%
Dawson City: Frozen Time;2016;100%
O.J.: Made in America;2016;100%
Neerja;2016;100%
One More Time with Feeling;2016;100%
My Happy Family;2017;100%
The Night My Number Came Up;1955;
Let There Be Light;2017;100%
The Work;2017;100%
The Rolling Stones Ole, Ole, Ole!: A Trip Across Latin America;2016;100%
Mission Control: The Unsung Heroes of Apollo;2017;100%
Hotel Salvation;2016;100%
The Snow Creature;1954;
Soulmate;2016;100%
La Strada;1954;
Antiquities;2018;100%
Trapped;2016;100%
Sound of the Mountain;1954;
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd;2018;100%
Earth: One Amazing Day;2017;100%
Every Time I Die;2019;100%
Hitsville: The Making of Motown;2019;100%
Bobby Robson: More Than a Manager;2018;100%
Devdas;1955;
Don Camillo e l'on. Peppone;1955;
Midnight Runners;2017;100%
Raazi;2018;100%
2040;2019;100%
Butterflies;2018;100%
Merry-Go-Round;1956;
Maquia: When the Promised Flower Blooms;2018;100%
A Man Called Peter;1955;
Rangasthalam 1985;2018;100%
Mahanati;2018;100%
Too Funny to Fail: The Life & Death of The Dana Carvey Show;2017;100%
The Trial;2018;100%
Seeing Allred;2018;100%
Awe!;2018;100%
La Pointe Courte;1955;
The Russian Five;2018;100%
Shree 420;1955;
Penguin Highway;2018;100%
The Silence of Others;2018;100%
Swamp Women;1956;
Momentum Generation;2018;100%
The Unknown Soldier;1955;
We're No Angels;1955;
Princess Yang Kwei-fei;1955;
The Bleeding Edge;2018;100%
The Band of Honest Men;1956;
Andhadhun;2018;100%
Still Human;2018;100%
The Rocket from Calabuch;1956;
Honeyland;2019;100%
Dobry vojak Svejk;1957;
The Fastest Gun Alive;1956;
Sir Alex Ferguson: Never Give In;2021;100%
Gervaise;1956;
Those Who Remained;2019;100%
Gunslinger;1956;
The Captain from Kopenick;1956;
Carnival in Moscow;1956;
Hosts;2020;100%
Bait;2019;100%
Miracle in the Rain;1956;
The Docks of New York;1928;100%
Steamboat Bill, Jr.;1928;100%
The Phantom from 10,000 Leagues;1955;
Reach for the Sky;1956;
Samurai III: Duel at Ganryu Island;1956;
Le Million;1931;100%
The Forty-First;1956;
The Flying Carpet;1957;
The Miracle Woman;1931;100%
The Story of Louis Pasteur;1936;100%
Marked Woman;1937;100%
Toto, Peppino, and the Hussy;1956;
A Town Like Alice;1956;
The Bank Dick;1940;100%
There Was a Father;1942;100%
No Regrets for Our Youth;1946;100%
The Web;1947;100%
The Cyclops;1957;
Do Ankhen Barah Haath;1957;
Fort Apache;1948;100%
Raw Deal;1948;100%
From Hell It Came;1957;
A Geisha;1953;100%
Room at the Top;1959;100%
Late Autumn;1960;100%
Il Generale Della Rovere;1959;100%
The Invisible Boy;1957;
Hamlet;1964;100%
The Land Unknown;1957;
Madhumati;1958;
Portrait of Jason;1967;100%
The Swimmer;1968;100%
Sleeper;1973;100%
Lacombe, Lucien;1974;100%
The Many Adventures of Winnie the Pooh;1977;100%
Insiang;1976;100%
Quadrophenia;1979;100%
Quiet Flows the Don;1957;
Streetwise;1984;100%
Sherman's March;1985;100%
The Barbarian and the Geisha;1958;
Drugstore Cowboy;1989;100%
